syn1_locus_tag,syn1_gene,mpn_locus_tag,mpn_old_locus_tag,mpn_gene,pident,evalue,bitscore,halflife_h,halflife_clipped,ptn_localization,halflife_factor,halflife_h_syn1
MMSYN1_0246,,MPN_RS01180,MPN209,,32.111,3.29e-116,372.0,18.9090424770412,False,membrane,2.0764383561643833,39.26346107766993
MMSYN1_0360,ffh,MPN_RS00340,MPN061,ffh,43.596,1.41e-127,372.0,44.7314708369188,False,cytoplasmic,0.8387499999999999,37.51852116446564
MMSYN1_0226,pdhB,MPN_RS02205,MPN392,pdhB,53.704,6.47e-131,372.0,71.9368738918745,False,cytoplasmic,0.8387499999999999,60.33705297680973
MMSYN1_0612,,MPN_RS02130,MPN378,dnaE,30.95,5.82e-115,369.0,17.3352038771799,False,cytoplasmic,0.8387499999999999,14.539902251984639
MMSYN1_0012,metG,MPN_RS00130,MPN023,metG,40.466,6.390000000000001e-123,365.0,36.0119894552603,False,cytoplasmic,0.8387499999999999,30.20505615559957
MMSYN1_0223,,MPN_RS02215,MPN394,,41.314,2.7e-123,363.0,97.5092115830832,False,cytoplasmic,0.8387499999999999,81.78585121531103
MMSYN1_0221,pyk,MPN_RS01670,MPN303,pyk,43.103,1.49e-117,350.0,180.968252556618,False,cytoplasmic,0.8387499999999999,151.78712183186335
MMSYN1_0228,lpdA,MPN_RS02195,MPN390,lpdA,41.447,6.67e-114,343.0,63.2732293779606,False,cytoplasmic,0.8387499999999999,53.070421140764445
MMSYN1_0230,ackA,MPN_RS03070,MPN533,,48.223,1.32e-116,340.0,300.0,True,cytoplasmic,0.8387499999999999,251.62499999999997
MMSYN1_0141,prfA,MPN_RS02030,MPN361,prfA,50.592,8.780000000000002e-116,336.0,31.3199812311289,False,cytoplasmic,0.8387499999999999,26.26963425760936
MMSYN1_0668,rplB,MPN_RS00950,MPN168,rplB,60.993,2.5800000000000003e-116,331.0,36.7664699843329,False,cytoplasmic,0.8387499999999999,30.837876699359217
MMSYN1_0131,fba,MPN_RS00140,MPN025,fba,54.861,1.68e-113,325.0,78.1819790419211,False,cytoplasmic,0.8387499999999999,65.5751349214113
MMSYN1_0652,secY,MPN_RS01030,MPN184,secY,38.816,6.460000000000001e-107,322.0,16.7936148996616,False,membrane,2.0764383561643833,34.870906116311026
MMSYN1_0687,gatB,MPN_RS01325,MPN238,gatB,39.03,7.9e-107,321.0,40.9344024758585,False,cytoplasmic,0.8387499999999999,34.33373007662631
MMSYN1_0061,serS,MPN_RS00025,MPN005,serS,40.855,1.75e-102,306.0,89.397535512834,False,cytoplasmic,0.8387499999999999,74.9821829113895
MMSYN1_0688,gatA,MPN_RS01320,MPN237,gatA,37.552,1.81e-100,305.0,43.1507031229522,False,cytoplasmic,0.8387499999999999,36.192652244376156
MMSYN1_0432,metK,MPN_RS00330,MPN060,metK,42.667,7.980000000000002e-103,305.0,40.6846537954525,False,cytoplasmic,0.8387499999999999,34.124253370935776
MMSYN1_0734,pdp,MPN_RS00355,MPN064,,39.604,3.01e-97,293.0,300.0,True,cytoplasmic,0.8387499999999999,251.62499999999997
MMSYN1_0154,lap,MPN_RS03275,MPN572,,42.711,8.56e-94,286.0,52.7739919525576,False,cytoplasmic,0.8387499999999999,44.26418575020768
MMSYN1_0475,ldh,MPN_RS03805,MPN674,,48.544,8.930000000000002e-97,284.0,102.426717334736,False,cytoplasmic,0.8387499999999999,85.9104091645098
MMSYN1_0837,cysS,MPN_RS01990,MPN356,cysS,39.503,2.5e-92,281.0,17.1037811541527,False,cytoplasmic,0.8387499999999999,14.345796443045575
MMSYN1_0407,rpoD,MPN_RS01970,MPN352,,43.917,3.84e-88,275.0,9.49779343097099,False,cytoplasmic,0.8387499999999999,7.966274240226917
MMSYN1_0831,prs,MPN_RS00400,MPN073,prs,42.09,2.09e-92,274.0,89.3555793209881,False,cytoplasmic,0.8387499999999999,74.94699215547875
MMSYN1_0219,glpO,MPN_RS00270,MPN051,glpO,42.091,2.55e-90,273.0,86.8351163539581,False,cytoplasmic,0.8387499999999999,72.83295384188234
MMSYN1_0814,glf,MPN_RS01535,MPN278,glf,37.0,8.139999999999999e-90,272.0,44.0636551607553,False,cytoplasmic,0.8387499999999999,36.958390766083504
MMSYN1_0775,,MPN_RS01350,MPN243,rnr,32.551,1.04e-81,270.0,10.4645755786552,False,cytoplasmic,0.8387499999999999,8.777162766597048
MMSYN1_0643,,MPN_RS01075,MPN193,,52.788,1.66e-90,270.0,43.2307175286035,False,cytoplasmic,0.8387499999999999,36.25976432711618
MMSYN1_0358,recA,MPN_RS02795,MPN490,recA,47.855,9.27e-91,270.0,9.37330523324773,False,cytoplasmic,0.8387499999999999,7.861859764386533
MMSYN1_0387,trmU,MPN_RS02395,MPN422,mnmA,41.509,1.69e-89,270.0,41.2483188635814,False,cytoplasmic,0.8387499999999999,34.597027446828896
MMSYN1_0257,,MPN_RS03530,MPN621,,30.035,8.32e-84,268.0,30.4144162989058,False,cytoplasmic,0.8387499999999999,25.510091670707236
MMSYN1_0414,,MPN_RS02230,MPN397,,32.154,7.78e-80,266.0,80.0846238807029,False,cytoplasmic,0.8387499999999999,67.17097827993955
MMSYN1_0427,pstB,MPN_RS03465,MPN609,pstB,54.0,3.22e-89,263.0,53.4724093844854,False,cytoplasmic,0.8387499999999999,44.84998337123712
MMSYN1_0625,arcC_1,MPN_RS01730,MPN307,arcC,47.097,1.79e-88,262.0,17.812428282192,False,cytoplasmic,0.8387499999999999,14.940174221688537
MMSYN1_0859,,MPN_RS01440,MPN261,topA,31.15,1.1800000000000002e-79,262.0,21.3937902972162,False,cytoplasmic,0.8387499999999999,17.944041611790084
MMSYN1_0308,trpS,MPN_RS01460,MPN265,trpS,42.604,9.999999999999999e-87,260.0,300.0,True,cytoplasmic,0.8387499999999999,251.62499999999997
MMSYN1_0282,proS,MPN_RS02280,MPN402,proS,32.99,9.95e-83,259.0,44.4709152476532,False,cytoplasmic,0.8387499999999999,37.29998016396912
MMSYN1_0645,rpoA,MPN_RS01065,MPN191,rpoA,41.284,3.2700000000000005e-86,258.0,31.4969969767926,False,cytoplasmic,0.8387499999999999,26.41810621428479
MMSYN1_0733,,MPN_RS00365,MPN066,,30.922,1.32e-80,258.0,59.8519758148593,False,cytoplasmic,0.8387499999999999,50.200844714713234
MMSYN1_0030,,MPN_RS00440,MPN081,,54.008,2.23e-83,256.0,37.0171537571296,False,cytoplasmic,0.8387499999999999,31.048137713792446
MMSYN1_0819,trxB,MPN_RS01335,MPN240,trxB,44.558,1.43e-85,255.0,38.4537260816725,False,cytoplasmic,0.8387499999999999,32.2530627510028
MMSYN1_0420,,MPN_RS03145,MPN547,,33.16,6.26e-78,251.0,54.5605797423465,False,cytoplasmic,0.8387499999999999,45.76268625889312
MMSYN1_0445,pgi,MPN_RS01385,MPN250,,37.745,2.3200000000000003e-79,247.0,113.961137082121,False,cytoplasmic,0.8387499999999999,95.58490372762897
MMSYN1_0167,,MPN_RS01220,MPN217,,40.678,2.21e-77,246.0,36.3257691002137,False,cytoplasmic,0.8387499999999999,30.468238832804236
MMSYN1_0642,,MPN_RS01080,MPN194,,45.52,1.18e-80,242.0,37.9527488414542,False,cytoplasmic,0.8387499999999999,31.832868090769708
MMSYN1_0529,pheS,MPN_RS00600,MPN105,pheS,38.04,1.01e-77,237.0,49.8961645237424,False,cytoplasmic,0.8387499999999999,41.85040799428893
MMSYN1_0429,,MPN_RS02410,MPN425,ftsY,43.189,7.45e-77,237.0,29.3635635345862,False,cytoplasmic,0.8387499999999999,24.62868891463417
MMSYN1_0535,argS,MPN_RS03190,MPN556,argS,33.128,1.4000000000000002e-72,236.0,127.113136219001,False,cytoplasmic,0.8387499999999999,106.61614300368709
MMSYN1_0809,rplA,MPN_RS01235,MPN220,rplA,53.982,2.49e-80,235.0,27.1062117369231,False,cytoplasmic,0.8387499999999999,22.735335094344247
MMSYN1_0224,,MPN_RS02190,MPN389,,37.261,1.88e-75,231.0,101.671542499466,False,cytoplasmic,0.8387499999999999,85.2770062714271
MMSYN1_0225,pdhA,MPN_RS02210,MPN393,pdhA,39.067,1.7999999999999997e-74,230.0,49.5435746964607,False,cytoplasmic,0.8387499999999999,41.55467327665641
MMSYN1_0305,,MPN_RS02685,MPN470,,39.053,1.04e-74,230.0,121.777032228818,False,cytoplasmic,0.8387499999999999,102.14048578192109
MMSYN1_0613,tyrS,MPN_RS03775,MPN669,tyrS,32.227,8.550000000000001e-73,229.0,115.864412226499,False,cytoplasmic,0.8387499999999999,97.18127575497603
MMSYN1_0229,pta,MPN_RS02425,MPN428,pta,39.564,9.26e-75,228.0,87.6718967099012,False,cytoplasmic,0.8387499999999999,73.53480336542962
MMSYN1_0288,hisS,MPN_RS00235,MPN045,hisS,33.333,2.09e-71,226.0,300.0,True,cytoplasmic,0.8387499999999999,251.62499999999997
MMSYN1_0227,pdhC,MPN_RS02200,MPN391,,33.787,1.25e-70,224.0,87.7075521516221,False,cytoplasmic,0.8387499999999999,73.56470936717302
MMSYN1_0220,pfkA,MPN_RS01665,MPN302,,40.566,1.19e-72,223.0,273.114922225704,False,cytoplasmic,0.8387499999999999,229.0751410168092
MMSYN1_0081,trmE,MPN_RS00040,MPN008,mnmE,32.816,7.840000000000001e-70,223.0,17.4728176321353,False,cytoplasmic,0.8387499999999999,14.65532578895348
MMSYN1_0109,,MPN_RS01840,MPN328,,41.727,2.43e-73,222.0,30.0618086555348,False,cytoplasmic,0.8387499999999999,25.21434200982981
MMSYN1_0772,nrdI,MPN_RS01815,MPN323,nrdI,69.128,8.82e-77,221.0,11.0139811465234,False,cytoplasmic,0.8387499999999999,9.237976686646501
MMSYN1_0441,,MPN_RS02775,MPN487,,34.165,5.07e-69,219.0,64.9004396237316,False,cytoplasmic,0.8387499999999999,54.43524373440487
MMSYN1_0238,rpsD,MPN_RS02515,MPN446,rpsD,51.707,4.66e-74,218.0,29.1124716577459,False,cytoplasmic,0.8387499999999999,24.41808560293437
MMSYN1_0377,cgtA,MPN_RS03230,MPN563,obgE,36.636,5.83e-68,218.0,25.5825951216814,False,cytoplasmic,0.8387499999999999,21.45740165831027
MMSYN1_0539,tsf,MPN_RS03580,MPN631,tsf,38.047,1.32e-70,216.0,46.1817417120826,False,cytoplasmic,0.8387499999999999,38.734935861009276
MMSYN1_0659,rplE,MPN_RS00995,MPN177,rplE,56.742,2.56e-73,214.0,25.5052344228619,False,cytoplasmic,0.8387499999999999,21.392515372175417
MMSYN1_0079,,MPN_RS00325,MPN059,tsaD,38.272,1.45e-69,214.0,29.5139235736079,False,cytoplasmic,0.8387499999999999,24.754803397363624
MMSYN1_0364,trmD,MPN_RS03725,MPN659,trmD,42.922,1.77e-71,213.0,7.23844566867038,False,cytoplasmic,0.8387499999999999,6.07124630459728
MMSYN1_0378,nadE,MPN_RS03225,MPN562,nadE,46.091,2.88e-69,209.0,42.256693202935,False,cytoplasmic,0.8387499999999999,35.442801423961726
MMSYN1_0149,rpsG,MPN_RS01265,MPN226,rpsG,61.935,6.160000000000002e-72,208.0,23.747304174842,False,cytoplasmic,0.8387499999999999,19.918051376648727
MMSYN1_0115,,MPN_RS03765,MPN667,galU,41.463,2.24e-66,204.0,77.2547944358669,False,cytoplasmic,0.8387499999999999,64.79745883308335
MMSYN1_0148,rpsL,MPN_RS01260,MPN225,rpsL,72.464,1.03e-69,201.0,22.9071783576383,False,cytoplasmic,0.8387499999999999,19.213395847469123
MMSYN1_0240,thiI,MPN_RS03160,MPN550,thiI,36.387,1.8099999999999999e-62,201.0,34.0102942060514,False,cytoplasmic,0.8387499999999999,28.526134265325606
MMSYN1_0419,plsX,MPN_RS03140,MPN546,plsX,35.061,1.03e-62,198.0,65.1808218790236,False,cytoplasmic,0.8387499999999999,54.670414351031035
MMSYN1_0197,,MPN_RS00305,MPN055,,37.874,8.65e-59,195.0,19.1994828148144,False,cytoplasmic,0.8387499999999999,16.103566210925575
MMSYN1_0524,mraW,MPN_RS01775,MPN315,rsmH,41.234,1.28e-60,191.0,49.4730494056243,False,cytoplasmic,0.8387499999999999,41.495520188967376
MMSYN1_0610,mutM,MPN_RS02140,MPN380,mutM,38.909,2.94e-61,190.0,32.5589917169066,False,cytoplasmic,0.8387499999999999,27.308854302555403
MMSYN1_0798,upp,MPN_RS00180,MPN033,upp,43.842,6.88e-63,189.0,23.8473058686287,False,cytoplasmic,0.8387499999999999,20.00192779731232
MMSYN1_0665,rpsC,MPN_RS00965,MPN171,rpsC,47.005,1.88e-60,187.0,25.0573034605186,False,cytoplasmic,0.8387499999999999,21.01681327750997
MMSYN1_0371,,MPN_RS00110,MPN019,,29.25,1.81e-52,186.0,143.554340394335,False,membrane,2.0764383561643833,298.08173858867525
MMSYN1_0517,,MPN_RS01615,MPN292,,34.768,4.720000000000001e-58,184.0,5.62800845479912,False,cytoplasmic,0.8387499999999999,4.720492091462761
MMSYN1_0664,rplP,MPN_RS00970,MPN172,rplP,64.706,3.54e-62,182.0,24.9740088753827,False,cytoplasmic,0.8387499999999999,20.94694994422724
MMSYN1_0671,rplC,MPN_RS00935,MPN165,rplC,44.545,4.3400000000000004e-58,181.0,29.8735664272423,False,cytoplasmic,0.8387499999999999,25.056453840849475
MMSYN1_0834,dnaB,MPN_RS01295,MPN232,,34.254,3.65e-53,180.0,28.1188992410407,False,cytoplasmic,0.8387499999999999,23.584726738422884
MMSYN1_0134,,MPN_RS02390,MPN421,,30.247,2.33e-52,179.0,300.0,True,membrane,2.0764383561643833,622.931506849315
MMSYN1_0685,,MPN_RS02625,MPN460,,30.68,6.44e-51,178.0,39.3770829947531,False,membrane,2.0764383561643833,81.76408548417362
MMSYN1_0431,,MPN_RS01955,MPN349,,37.023,4.8999999999999996e-55,174.0,172.901988379859,False,cytoplasmic,0.8387499999999999,145.02154275360672
MMSYN1_0426,,MPN_RS03470,MPN610,pstA,27.592,3.2200000000000003e-47,172.0,45.5420710667925,False,membrane,2.0764383561643833,94.56530318225215
MMSYN1_0001,dnaA_1,MPN_RS03860,MPN686,dnaA,29.7,3.34e-50,171.0,70.8562722814356,False,cytoplasmic,0.8387499999999999,59.430698376054096
MMSYN1_0732,deoC,MPN_RS00350,MPN063,deoC,43.192,4.54e-55,171.0,59.3807349953985,False,cytoplasmic,0.8387499999999999,49.805591477390486
MMSYN1_0810,rplK,MPN_RS01230,MPN219,rplK,59.559,8.880000000000002e-57,169.0,15.1277663900914,False,cytoplasmic,0.8387499999999999,12.68841405968916
MMSYN1_0406,dnaG,MPN_RS01975,MPN353,dnaG,31.07,1.3299999999999999e-46,169.0,29.5715024554209,False,cytoplasmic,0.8387499999999999,24.80309768448428
MMSYN1_0684,folD,MPN_RS00090,MPN017,,32.74,9.38e-52,166.0,18.6020913188771,False,cytoplasmic,0.8387499999999999,15.602504093708166
MMSYN1_0727,tpiA,MPN_RS03570,MPN629,tpiA,39.669,8.98e-53,166.0,97.5290082748551,False,cytoplasmic,0.8387499999999999,81.8024556905347
MMSYN1_0821,hprK,MPN_RS01250,MPN223,hprK,31.013,1.98e-50,165.0,34.094958194892,False,cytoplasmic,0.8387499999999999,28.597146185965663
MMSYN1_0380,,MPN_RS01880,MPN336,,29.769,8.42e-49,163.0,34.267597097758,False,cytoplasmic,0.8387499999999999,28.74194706574452
MMSYN1_0647,rpsM,MPN_RS01055,MPN189,rpsM,65.833,4.48e-55,163.0,26.201774270917,False,cytoplasmic,0.8387499999999999,21.97673816973163
MMSYN1_0544,hrcA,MPN_RS00705,MPN124,hrcA,31.928,1.17e-48,162.0,12.9794771031426,False,cytoplasmic,0.8387499999999999,10.886536420260853
MMSYN1_0656,rplF,MPN_RS01010,MPN180,rplF,45.856,1.06e-51,159.0,24.1800903887884,False,cytoplasmic,0.8387499999999999,20.281050813596266
MMSYN1_0829,,MPN_RS00045,MPN009,,36.397,7.16e-49,157.0,14.5433270753958,False,cytoplasmic,0.8387499999999999,12.198215584488224
MMSYN1_0813,galE,MPN_RS01420,MPN257,galE,33.234,1.4199999999999998e-46,156.0,46.9064038959831,False,cytoplasmic,0.8387499999999999,39.342746267755814
MMSYN1_0541,dnaJ,MPN_RS00120,MPN021,,33.333,4.24e-45,155.0,114.374083079705,False,cytoplasmic,0.8387499999999999,95.93126218310256
MMSYN1_0410,,MPN_RS03540,MPN623,,31.412,3.17e-44,155.0,6.43062378246882,False,cytoplasmic,0.8387499999999999,5.393685697545722
MMSYN1_0344,ppa,MPN_RS03040,MPN528,,47.778,1.04e-48,152.0,47.2153657782705,False,cytoplasmic,0.8387499999999999,39.60188804652438
MMSYN1_0537,pyrH,MPN_RS03585,MPN632,pyrH,37.712,6.790000000000001e-47,151.0,36.0219026285733,False,cytoplasmic,0.8387499999999999,30.213370829715853
MMSYN1_0654,rpsE,MPN_RS01020,MPN182,rpsE,54.0,1.16e-46,150.0,26.6022349388754,False,cytoplasmic,0.8387499999999999,22.31262455498174
MMSYN1_0650,map,MPN_RS01040,MPN186,map,31.6,2.27e-45,148.0,23.1871669090649,False,cytoplasmic,0.8387499999999999,19.448236244978183
MMSYN1_0391,efp,MPN_RS00160,MPN029,efp,43.017,1.51e-46,146.0,29.5860779259778,False,cytoplasmic,0.8387499999999999,24.815322860413875
MMSYN1_0661,rplN,MPN_RS00985,MPN175,rplN,54.098,5.18e-48,145.0,31.4625842882316,False,cytoplasmic,0.8387499999999999,26.389242571754252
MMSYN1_0637,rpsI,MPN_RS03505,MPN616,rpsI,58.779,1.24e-47,145.0,22.6381770626629,False,cytoplasmic,0.8387499999999999,18.987771011308507
MMSYN1_0491,udk,MPN_RS03220,MPN561,udk,38.049,1.82e-45,145.0,69.5164389228806,False,cytoplasmic,0.8387499999999999,58.30691314656609
MMSYN1_0791,atpG,MPN_RS03415,MPN599,atpG,30.556,1.45e-43,145.0,300.0,True,cytoplasmic,0.8387499999999999,251.62499999999997
MMSYN1_0347,cmk,MPN_RS02720,MPN476,cmk,35.681,2.64e-45,145.0,40.2178484689356,False,cytoplasmic,0.8387499999999999,33.73272040331973
MMSYN1_0127,,MPN_RS03815,MPN677,,32.938,1.44e-40,144.0,101.664111410048,False,cytoplasmic,0.8387499999999999,85.27077344517774
MMSYN1_0540,rpsB,MPN_RS01175,MPN208,rpsB,38.863,9.53e-43,144.0,13.8478422898811,False,cytoplasmic,0.8387499999999999,11.614877720637772
MMSYN1_0390,fmt,MPN_RS03125,MPN543,fmt,31.313,3.4299999999999995e-42,143.0,14.2847879835561,False,cytoplasmic,0.8387499999999999,11.981365921207678
MMSYN1_0253,,MPN_RS02275,MPN401,greA,46.0,1.89e-43,137.0,10.5264103715653,False,cytoplasmic,0.8387499999999999,8.829026699150393
MMSYN1_0139,,MPN_RS00805,MPN140,,30.99,1.79e-39,137.0,50.2605807616833,False,cytoplasmic,0.8387499999999999,42.156062113861864
MMSYN1_0670,rplD,MPN_RS00940,MPN166,rplD,38.35,4.39e-42,137.0,25.8595585706934,False,cytoplasmic,0.8387499999999999,21.68970475116909
MMSYN1_0651,adk,MPN_RS01035,MPN185,,36.967,6.53e-42,136.0,25.5755694835074,False,cytoplasmic,0.8387499999999999,21.45150890429183
MMSYN1_0504,,MPN_RS00390,MPN071,rsmI,32.292,6.8e-40,135.0,11.7812518800777,False,cytoplasmic,0.8387499999999999,9.88152501441517
MMSYN1_0029,,MPN_RS02735,MPN479,,40.462,1.08e-41,135.0,109.599009412864,False,cytoplasmic,0.8387499999999999,91.92616914503968
MMSYN1_0747,,MPN_RS00345,MPN062,deoD,38.865,9.34e-41,134.0,71.2574348952332,False,cytoplasmic,0.8387499999999999,59.76717351837684
MMSYN1_0203,gmk,MPN_RS01365,MPN246,gmk,40.437,3.13e-39,133.0,37.9381218904553,False,cytoplasmic,0.8387499999999999,31.82059973561938
MMSYN1_0800,rpiB,MPN_RS03395,MPN595,rpiB,42.857,1.45e-41,131.0,17.837544792279,False,cytoplasmic,0.8387499999999999,14.96124069452401
MMSYN1_0045,tmk,MPN_RS00030,MPN006,tmk,39.474,5.44e-40,131.0,35.8726266444999,False,cytoplasmic,0.8387499999999999,30.08816559807429
MMSYN1_0707,,MPN_RS02365,MPN416,,32.653,1.84e-38,130.0,8.71109392896743,False,cytoplasmic,0.8387499999999999,7.30643003292143
MMSYN1_0216,hpt_1,MPN_RS03795,MPN672,hpt,40.816,3.16e-40,130.0,7.6801304973113,False,cytoplasmic,0.8387499999999999,6.4417094546198514
